模型名稱,預測月份,預測值,誤差值,MAE
sarima,2024-07,30.18919634724126,"Series([], Name: order, dtype: float64)",4.878545015083481
sarima,2024-08,30.18919634724126,"Series([], Name: order, dtype: float64)",4.878545015083481
sarima,2024-09,30.18919634724126,"Series([], Name: order, dtype: float64)",4.878545015083481
